minor,average rssi(mW),dBm,,,,,
time range,10:58:30,11:00:37,,point,4,d,1
row1,5.00E-02,-13.01,,,,,
row2,4.88E-02,-13.12,,,,,
row3,2.50E-02,-16.02,,,,,
row4,5.13E-02,-12.9,,,,,
time range,11:01:26,11:02:14,,,,d,2
row1,2.56E-07,-65.92,,,,,
row2,7.53E-07,-61.23,,,,,
row3,3.03E-06,-55.18,,,,,
row4,1.90E-05,-47.22,,,,,
time range,11:03:22,11:04:10,,,,d,3
row1,3.33E-02,-14.77,,,,,
row2,3.33E-02,-14.77,,,,,
row3,3.45E-02,-14.62,,,,,
row4,3.33E-02,-14.77,,,,,
time range,11:04:45,11:05:42,,,,d,4
row1,6.69E-07,-61.75,,,,,
row2,1.46E-06,-58.34,,,,,
row3,9.29E-06,-50.32,,,,,
row4,6.48E-06,-51.89,,,,,
time range,11:10:00,11:11:16,,point,2_2,d,1
row1,1.79E-06,-57.47,,,,,
row2,3.43E-06,-54.64,,,,,
row3,1.33E-06,-58.76,,,,,
row4,4.55E-06,-53.42,,,,,
time range,11:11:38,11:12:26,,,,d,2
row1,9.47E-07,-60.24,,,,,
row2,3.76E-06,-54.24,,,,,
row3,2.69E-06,-55.7,,,,,
row4,9.32E-06,-50.31,,,,,
time range,11:12:37,11:13:39,,,,d,3
row1,6.55E-07,-61.84,,,,,
row2,2.23E-06,-56.52,,,,,
row3,4.33E-06,-53.64,,,,,
row4,6.56E-06,-51.83,,,,,
time range,11:14:00,11:14:47,,,,d,4
row1,3.91E-07,-64.07,,,,,
row2,2.05E-06,-56.88,,,,,
row3,4.81E-06,-53.18,,,,,
row4,7.65E-06,-51.16,,,,,
time range,11:16:29,11:17:40,,point,2_1,d,1
row1,2.87E-06,-55.43,,,,,
row2,1.48E-05,-48.28,,,,,
row3,1.46E-06,-58.37,,,,,
row4,1.16E-05,-49.37,,,,,
time range,11:19:32,11:22:11,,,,d,2
row1,1.48E-06,-58.3,,,,,
row2,6.96E-06,-51.57,,,,,
row3,2.41E-06,-56.18,,,,,
row4,2.56E-02,-15.91,,,,,
time range,11:22:34,11:23:25,,,,d,3
row1,4.60E-06,-53.37,,,,,
row2,2.35E-06,-56.29,,,,,
row3,1.17E-06,-59.3,,,,,
row4,6.47E-07,-61.89,,,,,
time range,11:24:00,11:25:15,,,,d,4
row1,4.34E-06,-53.62,,,,,
row2,2.39E-06,-56.21,,,,,
row3,1.12E-06,-59.49,,,,,
row4,9.80E-07,-60.09,,,,,
time range,11:27:17,11:28:23,,point,1,d,1
row1,4.81E-06,-53.18,,,,,
row2,1.93E-06,-57.14,,,,,
row3,9.58E-07,-60.18,,,,,
row4,9.40E-07,-60.27,,,,,
time range,11:28:44,11:29:36,,,,d,2
row1,2.24E-06,-56.49,,,,,
row2,3.25E-06,-54.88,,,,,
row3,1.03E-06,-59.86,,,,,
row4,1.79E-06,-57.48,,,,,
time range,11:29:53,11:30:42,,,,d,3
row1,2.20E-06,-56.58,,,,,
row2,4.73E-06,-53.25,,,,,
row3,1.75E-06,-57.56,,,,,
row4,1.34E-06,-58.74,,,,,
time range,11:30:56,11:31:43,,,,d,4
row1,1.24E-06,-59.05,,,,,
row2,6.97E-06,-51.57,,,,,
row3,2.18E-06,-56.62,,,,,
row4,2.40E-06,-56.19,,,,,
time range,11:34:28,11:35:22,,point,3_1,d,1
row1,7.85E-07,-61.05,,,,,
row2,2.91E-06,-55.36,,,,,
row3,9.60E-06,-50.18,,,,,
row4,2.72E-06,-55.65,,,,,
time range,11:35:36,11:36:25,,,,d,2
row1,9.70E-07,-60.13,,,,,
row2,1.91E-06,-57.2,,,,,
row3,2.73E-06,-55.64,,,,,
row4,5.31E-06,-52.75,,,,,
time range,11:36:36,11:37:38,,,,d,3
row1,1.13E-06,-59.45,,,,,
row2,1.64E-06,-57.85,,,,,
row3,1.87E-06,-57.29,,,,,
row4,3.63E-06,-54.4,,,,,
time range,11:37:57,11:38:51,,,,d,4
row1,3.10E-06,-55.08,,,,,
row2,2.17E-06,-56.64,,,,,
row3,9.30E-07,-60.32,,,,,
row4,8.98E-07,-60.47,,,,,
time range,11:40:34,11:41:26,,point,3_2,d,1
row1,6.77E-07,-61.69,,,,,
row2,1.90E-06,-57.2,,,,,
row3,3.01E-05,-45.22,,,,,
row4,1.03E-05,-49.86,,,,,
time range,11:41:39,11:42:45,,,,d,2
row1,8.52E-07,-60.69,,,,,
row2,1.79E-06,-57.48,,,,,
row3,1.03E-05,-49.86,,,,,
row4,1.33E-05,-48.76,,,,,
time range,11:43:00,11:43:49,,,,d,3
row1,4.25E-07,-63.72,,,,,
row2,1.47E-06,-58.32,,,,,
row3,4.32E-06,-53.64,,,,,
row4,1.95E-05,-47.1,,,,,
time range,11:44:13,11:45:00,,,,d,4
row1,6.65E-07,-61.77,,,,,
row2,9.43E-07,-60.26,,,,,
row3,2.55E-06,-55.94,,,,,
row4,8.56E-06,-50.67,,,,,
time range,11:51:40,11:52:36,,test,c,,
row1,3.77E-07,-64.24,,,,,
row2,1.78E-07,-67.49,,,,,
row3,1.16E-06,-59.36,,,,,
row4,4.17E-06,-53.8,,,,,
time range,11:54:22,11:55:13,,test,b,,
row1,5.99E-07,-62.23,,,,,
row2,4.49E-06,-53.47,,,,,
row3,1.58E-06,-58.03,,,,,
row4,2.65E-06,-55.76,,,,,
time range,11:56:50,11:57:43,,test,a,,
row1,No information,No information,,,,,
row2,No information,No information,,,,,
row3,No information,No information,,,,,
row4,No information,No information,,,,,
