minor,average rssi(mW),dBm
time range,11:30:00,11:30:55
row1,2.342932e-06,-56.30
row2,2.862773e-07,-65.43
row3,1.524949e-07,-68.17
row4,2.680849e-07,-65.72
time range,11:31:03,11:31:53
row1,1.164268e-06,-59.34
row2,5.499162e-07,-62.60
row3,2.546394e-07,-65.94
row4,2.677266e-07,-65.72
time range,11:32:00,11:32:49
row1,5.078521e-07,-62.94
row2,5.978817e-07,-62.23
row3,1.369215e-07,-68.64
row4,4.542919e-07,-63.43
time range,11:32:57,11:33:48
row1,2.625628e-07,-65.81
row2,3.769224e-07,-64.24
row3,1.760630e-07,-67.54
row4,3.091228e-07,-65.10
time range,11:20:17,11:21:26
row1,8.234651e-07,-60.84
row2,2.036646e-05,-46.91
row3,5.428527e-07,-62.65
row4,1.887555e-06,-57.24
time range,11:21:41,11:22:33
row1,2.027745e-07,-66.93
row2,7.897605e-07,-61.03
row3,4.548172e-07,-63.42
row4,7.513528e-07,-61.24
time range,11:22:40,11:23:34
row1,1.646981e-07,-67.83
row2,4.384043e-07,-63.58
row3,6.326472e-07,-61.99
row4,4.979115e-07,-63.03
time range,11:23:40,11:24:42
row1,6.347863e-07,-61.97
row2,1.505882e-06,-58.22
row3,4.490536e-07,-63.48
row4,7.879004e-07,-61.04
time range,11:25:04,11:25:53
row1,9.839361e-08,-70.07
row2,4.609802e-07,-63.36
row3,6.321262e-06,-51.99
row4,5.037345e-07,-62.98
time range,11:26:04,11:26:54
row1,1.740806e-07,-67.59
row2,9.892787e-07,-60.05
row3,2.001642e-06,-56.99
row4,8.582915e-07,-60.66
time range,11:27:04,11:28:31
row1,5.308097e-08,-72.75
row2,5.211224e-07,-62.83
row3,4.659720e-07,-63.32
row4,1.259256e-06,-59.00
time range,11:28:45,11:29:43
row1,4.608743e-08,-73.36
row2,2.132267e-07,-66.71
row3,2.176939e-07,-66.62
row4,3.263132e-07,-64.86
time range,11:13:20,11:14:10
row1,6.669011e-07,-61.76
row2,2.495430e-07,-66.03
row3,5.384128e-07,-62.69
row4,1.780941e-05,-47.49
time range,11:14:21,11:16:06
row1,5.411712e-07,-62.67
row2,2.813703e-07,-65.51
row3,8.883917e-07,-60.51
row4,1.116529e-05,-49.52
time range,11:16:49,11:18:10
row1,4.590080e-07,-63.38
row2,4.519417e-07,-63.45
row3,2.641130e-06,-55.78
row4,4.379205e-06,-53.59
time range,11:18:20,11:19:51
row1,3.113409e-07,-65.07
row2,1.745873e-06,-57.58
row3,1.717524e-06,-57.65
row4,4.395903e-06,-53.57
time range,11:36:49,11:37:48
row1,6.636541e-07,-61.78
row2,3.894201e-06,-54.10
row3,1.423560e-06,-58.47
row4,8.928530e-07,-60.49
time range,11:35:04,11:36:14
row1,1.866143e-07,-67.29
row2,7.680143e-07,-61.15
row3,2.042174e-06,-56.90
row4,1.293620e-06,-58.88
